,district number,district name,distric area
0,1,"<a href=""/district_details/537"">Ariyalur</a>","<div class=""dir_area"">2027.567542</div>"
1,2,"<a href=""/district_details/104949"">Chengalpattu</a>","<div class=""dir_area"">2802.642877</div>"
2,3,"<a href=""/district_details/535"">Chennai</a>","<div class=""dir_area"">462.2595648</div>"
3,4,"<a href=""/district_details/538"">Coimbatore</a>","<div class=""dir_area"">4950.675923</div>"
4,5,"<a href=""/district_details/557"">Cuddalore</a>","<div class=""dir_area"">3869.978807</div>"
5,6,"<a href=""/district_details/560"">Dharmapuri</a>","<div class=""dir_area"">4735.657327</div>"
6,7,"<a href=""/district_details/562"">Dindigul</a>","<div class=""dir_area"">6289.143008</div>"
7,8,"<a href=""/district_details/564"">Erode</a>","<div class=""dir_area"">6035.958688</div>"
8,9,"<a href=""/district_details/104951"">Kallakurichi</a>","<div class=""dir_area"">3440.83766</div>"
9,10,"<a href=""/district_details/569"">Kancheepuram</a>","<div class=""dir_area"">1800.172276</div>"
10,11,"<a href=""/district_details/575"">Karur</a>","<div class=""dir_area"">3022.331231</div>"
11,12,"<a href=""/district_details/1198"">Krishnagiri</a>","<div class=""dir_area"">5414.416924</div>"
12,13,"<a href=""/district_details/578"">Madurai</a>","<div class=""dir_area"">3846.378763</div>"
13,14,"<a href=""/district_details/110151"">Mayiladuthurai</a>","<div class=""dir_area"">1237.06366</div>"
14,15,"<a href=""/district_details/580"">Nagapattinam</a>","<div class=""dir_area"">1458.969404</div>"
15,16,"<a href=""/district_details/573"">Kanyakumari</a>","<div class=""dir_area"">1729.270352</div>"
16,17,"<a href=""/district_details/584"">Namakkal</a>","<div class=""dir_area"">3573.394518</div>"
17,18,"<a href=""/district_details/587"">Perambalur</a>","<div class=""dir_area"">1836.56692</div>"
18,19,"<a href=""/district_details/591"">Pudukottai</a>","<div class=""dir_area"">4847.773181</div>"
19,20,"<a href=""/district_details/593"">Ramanathapuram</a>","<div class=""dir_area"">4243.135967</div>"
20,21,"<a href=""/district_details/104955"">Ranipet</a>","<div class=""dir_area"">2234.32</div>"
21,22,"<a href=""/district_details/595"">Salem</a>","<div class=""dir_area"">5205</div>"
22,23,"<a href=""/district_details/1548"">Sivagangai</a>","<div class=""dir_area"">4,086</div>"
23,24,"<a href=""/district_details/104953"">Tenkasi</a>","<div class=""dir_area"">2916.13</div>"
24,25,"<a href=""/district_details/1552"">Thanjavur</a>","<div class=""dir_area"">3396.57</div>"
25,26,"<a href=""/district_details/1553"">Theni</a>","<div class=""dir_area"">3,066</div>"
26,27,"<a href=""/district_details/1556"">Thiruvallur</a>","<div class=""dir_area"">3444.229647</div>"
27,28,"<a href=""/district_details/1560"">Thiruvarur</a>","<div class=""dir_area"">2,161</div>"
28,29,"<a href=""/district_details/1578"">Tuticorin</a>","<div class=""dir_area"">4,621</div>"
29,30,"<a href=""/district_details/1564"">Trichirappalli</a>","<div class=""dir_area"">4,407</div>"
30,31,"<a href=""/district_details/1562"">Thirunelveli</a>","<div class=""dir_area"">3842.37</div>"
31,32,"<a href=""/district_details/104957"">Tirupathur</a>","<div class=""dir_area"">1792.92</div>"
32,33,"<a href=""/district_details/1566"">Tiruppur</a>","<div class=""dir_area"">5186.34</div>"
33,34,"<a href=""/district_details/1558"">Tiruvannamalai</a>","<div class=""dir_area"">6,191</div>"
34,35,"<a href=""/district_details/582"">The Nilgiris</a>","<div class=""dir_area"">2452.50</div>"
35,36,"<a href=""/district_details/1580"">Vellore</a>","<div class=""dir_area"">2222.094722</div>"
36,37,"<a href=""/district_details/1582"">Viluppuram</a>","<div class=""dir_area"">3725.54</div>"
37,38,"<a href=""/district_details/1584"">Virudhunagar
</a>","<div class=""dir_area"">4288</div>"
